painting,title,img,inceptionYear,name,genderLabel,countryLabel,movementLabel
http://www.wikidata.org/entity/Q17493995,Gabrielle Vallotton doing nails,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20vallotton%2C%20madame%20f%C3%A9lix%20vallotton%2C%201899.JPG,1899-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
http://www.wikidata.org/entity/Q17494205,Marthe Mellot,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Vallotton%2C%201905-1906%20-%20Marthe%20Mellot%20%28%C3%A9p.%20Natanson%29.jpg,1905-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
http://www.wikidata.org/entity/Q17494286,Misia à sa coiffeuse,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Vallotton%20-%20Misia%20at%20Her%20Dressing%20Table%20-%20Google%20Art%20Project.jpg,1898-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
http://www.wikidata.org/entity/Q17495301,Portrait of Alexandre Natanson,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Vallotton%2C%201899%20-%20Alexandre%20Natanson.jpg,1899-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
http://www.wikidata.org/entity/Q28050399,Marian Collier (née Huxley),http://commons.wikimedia.org/wiki/Special:FilePath/Marion%20Collier%20%28n%C3%A9e%20Huxley%29%20by%20John%20Collier.jpg,1882-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q28050414,Thomas Henry Huxley,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Collier%20-%20Thomas%20Henry%20Huxley.jpg,1883-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q28050767,Sir Edward Augustus Inglefield,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Edward%20Augustus%20Inglefield%20by%20John%20Collier.jpg,1897-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q28050880,George Smith,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Smith%20by%20John%20Collier.jpg,1901-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q28051021,Sir Michael Foster,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Michael%20Foster%20by%20John%20Collier.jpg,1907-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q28051067,Sir (Mary) Valentine Ignatius Chirol,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Ignatius%20Valentine%20Chirol%20by%20John%20Collier.jpg,1909-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q50861713,"Sir George Biddell Airy, 1801-1892",http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20George%20Biddell%20Airy%2C%201801-1892%20RMG%20BHC2507.tiff,1883-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q77987300,"Portrait of George Bernard Shaw (1856-1950), Dramatist",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20George%20Bernard%20Shaw%20.PNG,1927-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
